"Appearance","Appearance"
"Button template","Button template"
"Button Text","Button Text"
"Button w/popup","Button w/popup"
"Custom button CSS classes","Custom button CSS classes"
"Custom CSS classes for button","Custom CSS classes for button"
"Custom CSS classes for popup","Custom CSS classes for popup"
"Custom popup CSS classes","Custom popup CSS classes"
"Default","Default"
"Form","Form"
"Image height (maximum)","Image height (maximum)"
"Image link","Image link"
"Image width (maximum)","Image width (maximum)"
"Results","Results"
"Results per page","Results per page"
"Template","Template"
"Text","Text"
"Web-form","Web-form"
"WebForms","WebForms"
"You need to enable ""Allow frontend file downloads"" in Access Settings of the form","You need to enable ""Allow frontend file downloads"" in Access Settings of the form"